country,matched_stage0_country,language,model,stage3_pc1,stage3_pc2,stage0_pc1,stage0_pc2,cultural_distance,is_english_native_country,native_language,is_using_native_language,is_english
Algeria,Algeria,ar,claude-3-7-sonnet-20250219,-1.6474515062283088,-1.7093075607580606,-1.1706383546,-0.8798837916,0.9567102855149433,False,ar,True,False
Algeria,Algeria,en,claude-3-7-sonnet-20250219,-1.6018778734069636,-1.802446453020668,-1.1706383546,-0.8798837916,1.0183758573475943,False,ar,False,True
Algeria,Algeria,ar,claude-sonnet-4.5,-1.980094132587264,-2.081607855424925,-1.1706383546,-0.8798837916,1.4489166235822057,False,ar,True,False
Algeria,Algeria,en,claude-sonnet-4.5,-1.7412324588136023,-1.9797354054101477,-1.1706383546,-0.8798837916,1.2390525429392045,False,ar,False,True
Algeria,Algeria,ar,deepseek-chat,-2.1908937573840013,-2.2479568636206952,-1.1706383546,-0.8798837916,1.706618005676164,False,ar,True,False
Algeria,Algeria,en,deepseek-chat,-1.858251131025047,-1.8756565689538307,-1.1706383546,-0.8798837916,1.2101135295590755,False,ar,False,True
Algeria,Algeria,ar,deepseek-chat-v3.1,-2.1908937573840013,-2.2479568636206952,-1.1706383546,-0.8798837916,1.706618005676164,False,ar,True,False
Algeria,Algeria,en,deepseek-chat-v3.1,-1.980094132587264,-2.081607855424925,-1.1706383546,-0.8798837916,1.4489166235822057,False,ar,False,True
Algeria,Algeria,ar,doubao-1-5-pro-32k-250115,-2.714846035167098,-2.0686075304524234,-1.1706383546,-0.8798837916,1.9487538295109779,False,ar,True,False
Algeria,Algeria,en,doubao-1-5-pro-32k-250115,-2.17338217353958,-2.2766191977023102,-1.1706383546,-0.8798837916,1.7194083171490475,False,ar,False,True
Algeria,Algeria,ar,gemini-2.5-flash,-1.980094132587264,-2.081607855424925,-1.1706383546,-0.8798837916,1.4489166235822057,False,ar,True,False
Algeria,Algeria,en,gemini-2.5-flash,-2.1908937573840013,-2.2479568636206952,-1.1706383546,-0.8798837916,1.706618005676164,False,ar,False,True
Algeria,Algeria,ar,gemini-2.5-pro,-1.980094132587264,-2.081607855424925,-1.1706383546,-0.8798837916,1.4489166235822057,False,ar,True,False
Algeria,Algeria,en,gemini-2.5-pro,-3.159872598210615,-0.9472441084702552,-1.1706383546,-0.8798837916,1.9903744090602542,False,ar,False,True
Algeria,Algeria,ar,gemini-3-pro-preview,-2.1908937573840013,-2.2479568636206952,-1.1706383546,-0.8798837916,1.706618005676164,False,ar,True,False
Algeria,Algeria,en,gemini-3-pro-preview,-1.980094132587264,-2.081607855424925,-1.1706383546,-0.8798837916,1.4489166235822057,False,ar,False,True
Algeria,Algeria,ar,gemma-3-4b-it,1.200842715984007,-0.564788581282135,-1.1706383546,-0.8798837916,2.3923226077817197,False,ar,True,False
